iter	Passed	Remaining
783	1150	316
784	1151	315
785	1152	313
786	1153	312
787	1155	310
788	1156	309
789	1157	307
790	1158	306
791	1160	304
792	1161	303
793	1163	301
794	1164	300
795	1165	298
796	1166	297
797	1167	295
798	1168	294
799	1170	292
800	1171	291
801	1172	289
802	1174	288
803	1175	286
804	1176	285
805	1178	283
806	1179	281
807	1180	280
808	1181	278
809	1182	277
810	1183	275
811	1184	274
812	1186	272
813	1187	271
814	1188	269
815	1190	268
816	1191	266
817	1193	265
818	1194	263
819	1195	262
820	1196	260
821	1198	259
822	1199	257
823	1200	256
824	1201	254
825	1203	253
826	1204	251
827	1205	250
828	1207	249
829	1208	247
830	1209	246
831	1210	244
832	1212	242
833	1213	241
834	1214	239
835	1215	238
836	1216	236
837	1218	235
838	1219	233
839	1220	232
840	1222	231
841	1223	229
842	1224	228
843	1225	226
844	1227	225
845	1228	223
846	1229	222
847	1230	220
848	1231	219
849	1232	217
850	1234	216
851	1235	214
852	1236	213
853	1238	211
854	1239	210
855	1240	208
856	1241	207
857	1242	205
858	1244	204
859	1246	202
860	1247	201
861	1248	199
862	1249	198
863	1252	197
864	1253	195
865	1254	194
866	1256	192
867	1257	191
868	1258	189
869	1259	188
870	1261	186
871	1262	185
872	1263	183
873	1264	182
874	1265	180
875	1267	179
876	1269	178
877	1270	176
878	1271	175
879	1272	173
880	1274	172
881	1275	170
882	1276	169
883	1277	167
884	1278	166
885	1280	164
886	1281	163
887	1283	161
888	1284	160
889	1285	158
890	1287	157
891	1288	155
892	1289	154
893	1290	153
894	1292	151
895	1293	150
896	1294	148
897	1295	147
898	1298	145
899	1299	144
900	1300	142
901	1301	141
902	1303	139
903	1304	138
904	1305	137
905	1306	135
906	1307	134
907	1308	132
908	1310	131
909	1311	129
910	1313	128
911	1314	126
912	1315	125
913	1317	123
914	1318	122
915	1319	121
916	1320	119
917	1321	118
918	1323	116
919	1324	115
920	1325	113
921	1327	112
922	1329	110
923	1330	109
924	1331	107
925	1332	106
926	1334	105
927	1335	103
928	1336	102
929	1338	100
930	1339	99
931	1340	97
932	1341	96
933	1343	94
934	1344	93
935	1346	92
936	1347	90
937	1348	89
938	1349	87
939	1351	86
940	1352	84
941	1353	83
942	1354	81
943	1356	80
944	1357	79
945	1359	77
946	1360	76
947	1361	74
948	1362	73
949	1364	71
950	1365	70
951	1366	68
952	1367	67
953	1369	66
954	1370	64
955	1371	63
956	1372	61
957	1374	60
958	1375	58
959	1377	57
960	1379	55
961	1381	54
962	1382	53
963	1383	51
964	1384	50
965	1385	48
966	1386	47
967	1388	45
968	1390	44
969	1391	43
970	1392	41
971	1394	40
972	1395	38
973	1396	37
974	1397	35
975	1398	34
976	1400	32
977	1401	31
978	1402	30
979	1404	28
980	1405	27
981	1407	25
982	1408	24
983	1409	22
984	1410	21
985	1411	20
986	1412	18
987	1414	17
988	1415	15
989	1416	14
990	1417	12
991	1419	11
992	1420	10
993	1422	8
994	1424	7
995	1425	5
996	1426	4
997	1427	2
998	1429	1
999	1430	0
